Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Children's Toy Gardening Rakes Recalled by Downeast Concepts; Violates Lead Paint Standard",2/5/2008 ,"The recalled toy gardening tool hand rake has a wooden handle and a metal yellow bottom. Backyard and beyond Garden Tools is printed on the toy's tag which hangs from the toy's handle.",08183,https://www.cpsc.gov/Recalls/2008/Childrens-Toy-Gardening-Rakes-Recalled-by-Downeast-Concepts-Violates-Lead-Paint-Standard
"Children's Toy Rakes Sold Exclusively at Jo-Ann Fabric and Craft Stores Recalled Due to Violation of Lead in Paint Standard",9/26/2007 ,"The recalled children's rake has a green handle with a yellow duck head attached to the handle. The rake has seven purple tines, also known as teeth. The rake is about 24 inches long. Robbie Ducky™ Garden Collection Rake is printed on a tag attached to the handle.",07311,https://www.cpsc.gov/Recalls/2007/Childrens-Toy-Rakes-Sold-Exclusively-at-Jo-Ann-Fabric-and-Craft-Stores-Recalled-Due-to-Violation-of-Lead-in-Paint-Standard
"Jo-Ann Stores Expands Recall of Children's Toy Garden Tools Due to Violation of Lead in Paint Standard",10/25/2007 ,"This recall involves the Robbie Ducky children's leaf rake, hoe, broom and spade. Robbie Ducky™ Garden Collection is printed on a tag attached to the handle. The rake has a yellow handle with the head of a tortoise and green prongs. The hoe has an orange handle with a caterpillar and a blue blade. The broom has a purple handle with a duck and an orange brush. The spade has a yellow handle with the head of a frog and a red blade. The tools measure between 27 and 29 inches long.",08049,https://www.cpsc.gov/Recalls/2008/Jo-Ann-Stores-Expands-Recall-of-Childrens-Toy-Garden-Tools-Due-to-Violation-of-Lead-in-Paint-Standard
