Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"LaRose Industries Recalls Cra-Z-Jewelz Ultimate Gem Jewelry Machine Due to Violation of Lead Standard",6/2/2016 ,"This recall involves two models of LaRose's Jewelz Gem Creations jewelry making kit and one refill product. The UPC code is printed on the outside of the product box and on the bottom of the Gem Machine. Product Name Item# - UPC Code Purpose Sold at Shimmer N' Sparkle Cra-Z-Art Cra-Z-Jewelz Gem Creations Ultimate Gem Machine UPC #884920174504 Jewelry Making Kit Retailers, including Kmart, Toys R Us and Walmart Shimmer N' Sparkle Cra-Z-Art Cra-Z-Jewelz Gem Creations Gem Charm and Slider Bracelets UPC #884920174849 Refill Components for the Jewelry Making Kit Retailers, including Toys R Us and Walmart My Look Cra-Z-Art Cra-Z-Jewelz Gem Creations Ultimate Gem Machine UPC #884920466340 Jewelry Making Kit Target",16186,https://www.cpsc.gov/Recalls/2016/LaRose-Industries-Recalls-Cra-Z-Jewelz-Ultimate-Gem-Jewelry-Machine
